Term,Abbreviation / Acronym / Definition,Abbreviation,Definition,Category,Tags,Source,Contact,Comments,Approval Status,Rating (0-5),Synonyms,ID,Top Filter
"Strategic Asset Management Plan","[""Abbreviation""]","SAMP",,"[""Industry""]","[""Asset Information Management System""]","Strategic Asset Management Plan","Harshed Bhudia",,"Approved",,,"1718","S"
"Strategic Business Plan","[""Abbreviation""]","SBP",,"[""Digital Railway""]",,,,,"Approved",,,"899","S"
"Strategic Outline Business Case","[""Definition""]","SOBC","First stage of identifying the case for government investment in a scheme. Sets out the need for intervention (‘case for change’) and recommends a preferred way forward.","[""Industry""]",,,,,"Approved",,,"900","S"
"Structural Analysis","[""Definition""]",,"The use of Information Models to analyse structural design. The analysis may be used to verify the integrity of the structural system as well as for testing potential changes and improvements.","[""Enterprise Architecture""]","[""BIM Activities - Analyse Related""]","BIM Exchange Information Requirements","Abel Maciel","The term and definition in this section will be supported by specific digital tools, platforms and processes which must be defined for the project.","Approved",,,"1350","S"
"Structure","[""Definition""]",,"Any building, timber, masonry, metal or reinforced concrete structure, railway line or siding, tramway line, dock, harbour, inland navigation, tunnel, shaft, bridge, viaduct, waterworks, reservoir, pipe or pipeline, cable, aqueduct, sewer, sewage works, gasholder, road, airfield, sea defence works, river works, drainage works, earthworks, lagoon, dam, wall, caisson, mast, tower, pylon, underground tank, earth retaining structure or structure designed to preserve or alter any natural feature and fixed plant. Any formwork, falsework, scaffold, or other structure designed or used to provide support or means of access during construction work.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1502","S"
"Structured What If Technique ","[""Abbreviation""]","SWIFT",,"[""EWR""]",,"EWR System Safety Plan",,,"Approved",,,"1576","S"
"Subject Matter Expert","[""Abbreviation""]","SME",,"[""Digital Railway""]","[""Requirements Management""]","Requirements Management Plan",,,"Approved",,,"902","S"
"Subsoil","[""Definition""]",,"The weathered layer of soil between the natural topsoil at the ground surface and the un-weathered rock below. Subsoil has a lower organic matter and plant nutrient content than topsoil. In some places there is an upper subsoil layer or horizon, which is transitional in texture between the topsoil and a lower subsoil.","[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1163","S"
"Sub-System","[""Definition""]",,"A constituent Sub-System that delivers specific functionality and integrates with others to deliver a System.","[""Industry""]",,,,,"Approved",,,"901","S"
"Subway","[""Definition""]",,"A term sometimes used to describe pedestrian underbridge. Avoid using “subway” and use “pedestrian underbridge” instead.","[""Technical terms for statutory consultations""]",,,,,"Approved",,,"903","S"
"Suitable and Sufficient","[""Definition""]",,"Risk assessments that are proportionate to the risk and appropriate to the nature of the work.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1503","S"
"Sulphur Hexafluoride 6","[""Abbreviation""]","SF6",,"[""Electrical Engineering""]","[""Power Engineering""]","Power Engineering Upload","Michael Bartley",,"Approved",,,"1702","S"
"Sunday","[""Definition""]","SU","Industry abbreviation for Sunday Diagrams","[""Industry""]",,,,,"Approved",,,"904","S"
"Supervisory Control and Data Acquisition","[""Definition"",""Acronym""]","SCADA","SCADA is a control system architecture that uses computers, networked data communications, and graphical user interfaces for high-level process supervisory management, but uses other peripheral devices such as programmable logic controllers and discrete PID controllers to interface to the process plant or machinery. The operator interfaces which enable monitoring and the issuing of process commands, such as controller set point changes, are handled through the SCADA supervisory computer system. However, the real-time control logic or controller calculations are performed by networked modules which connect to the field sensors and actuators.","[""Digital Railway""]",,,,,"Approved",,,"905","S"
"Supplier","[""Definition""]",,"The person or body that builds and sells a product or a system. In the case of a product, the requirement, design, and validation phases are achieved by the supplier. In the case of a system, the requirements can be defined by the end user.","[""Digital Railway""]",,,,"General definition shown.","Approved",,,"906","S"
"Supplier","[""Definition""]",,"All those producing design data and information for delivery to the Client are defined as the Supplier.","[""Enterprise Architecture""]","[""CAD"",""BIM - Management""]","BIM Exchange Information Requirements","Abel Maciel","Definition differences determined by assigned Tag, as shown in Tags column.","Approved",,,"1288","S"
"Supplier","[""Definition""]",,"Individual service provider, providing people, goods or services to EWR Co","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell","Definition differences determined by assigned Tag, as shown in Tags column.","Approved",,,"1504","S"
"Supplier Direct Award","[""Definition""]","SDA","Supplier Direct Award","[""Industry""]",,,,,"Approved",,,"907","S"
"Supplier Pre-Qualification Questionnaire","[""Definition""]","SQQ","A standardised set of questions to be asked of suppliers as part of prequalification to evaluate their safety profile, including current and past health and safety performance, their health and safety management system and an assessment of their ability to deliver safely (based on scope of services to be provided).","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1505","S"
"Supply Chain","[""Definition""]",,"Organisations and suppliers working for EWR Co in the delivery of the Railway.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1506","S"
"Support Systems","[""Definition""]",,"Equipment and systems that provide information to support the operations and performance of the system and/or extract information required to monitor the operational state and performance of the system.","[""Digital Railway""]",,,,,"Approved",,,"908","S"
"Survey Access Team","[""Abbreviation""]","SAT",,"[""Environment""]","[""Survey""]",,"Karen Straw",,"Approved",,,"1765","S"
"Survey Management Agent","[""Abbreviation""]","SMA",,"[""Environment""]","[""Survey""]",,"Karen Straw",,"Approved",,,"1766","S"
"Survey Organisations","[""Abbreviation""]","SO",,"[""Environment""]","[""Survey""]",,"Karen Straw",,"Approved",,,"1767","S"
"Sustainability Evaluation ","[""Definition"",""Acronym""]","BREEAM","The use of Information Models to support sustainability evaluations and assessments for criteria defined by BREEAM or other selected programmes. The evaluation may include a combination of other processes, including energy analysis, material analysis and quantification.","[""Enterprise Architecture""]","[""BIM Activities - Analyse Related""]","BIM Exchange Information Requirements","Abel Maciel","The term and definition in this section will be supported by specific digital tools, platforms and processes which must be defined for the project.","Approved",,"BREEAM","1351","S"
"Sustainable Design Approach Framework","[""Abbreviation""]","SDAF",,"[""Environment""]",,,"Karen Straw",,"Approved",,,"1237","S"
"Sustainable Urban Drainage Systems","[""Abbreviation""]","SuDS",,"[""Environment""]","[""Survey""]",,"Karen Straw",,"Approved",,,"1243","S"
"Switches and Crossings ","[""Abbreviation""]","S&C",,"[""Industry""]",,,,,"Approved",,,"1236","S"
"Sympathetic Integration - Heritage Assets","[""Definition""]",,"Achieved through an iterative process between landscape and historic environment assessment and design, which results in the integration of heritage assets.","[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1164","S"
"Sympathetic Integration - Landscape","[""Definition""]",,"Achieved through an iterative process between landscape assessment and landscape design, which results in the integration of the Project within the wider landscape context.","[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1165","S"
"Synchronous Digital Hierarchy","[""Definition""]","SDH","An international technology standard that utilises light-emitting diodes (LEDs) or lasers for synchronous optical fibre communication.","[""Digital Railway""]",,,,,"Approved",,,"909","S"
"System","[""Definition""]",,"A bounded physical entity that, in its domain, achieves a defined objective through the interaction of its parts. A system within the System of Systems is a combination of interacting elements (process + product + people) within an eco-system organised to deliver one or more of the capabilities.","[""EWR""]",,,,"General definition given.","Approved",,,"910","S"
